_TgvXeXV1Z8	2021-09-03	L	Trailer	
2803	c1	Roulette	c3	Ultra	1
2990	c1	Temperance	c3	Riveter	2
3333	c2	Ultra	c1	Wicked	2
3528	c2	Insomnia	c1	Velvet	2
3833	c1	Pumps	c2	Tattoo	1
4021	c1	T-Back	c2	Cascade	2
4241	c1	Tattoo	c2	Shadow	2
4649	c2	Shadow	c1	Geisha	2
4824	c2	Cougar	c1	Femme Fatale	2
5172	c1	Xenon	c3	Goddess	1
5312	c1	Firecracker	c3	Roulette	2
5519	c1	Voodoo	c3	Ultra	1
5744	c2	Widow	c2	Vanity	2
5867	c2	Mirage	c2	Geisha	2
6087	c1	Belladonna	c2	Mirage	2
6352	c1	Roulette	c2	Nightmare	1
6538	c1	Lithium	c2	Ultra	2
6854	c3	Raven	c2	Enigma	1
7018	c3	Colada	c2	Minx	1
7234	c2	Black Beauty	c2	Belladonna	1
7362	c2	Wicked	c2	Geisha	1
7643	c1	Lolita	c1	Widow	2
7787	c1	Insomnia	c1	Colada	2
7978	c1	Cougar	c1	Ultra	1
8132	c1	Thunderbird	c1	Mirage	2
8388	c3	Tattoo	c2	Vanity	2
8575	c3	Mademoiselle	c2	Roulette	1
8762	c3	Xenon	c2	Mirage	2
8962	c1	Vixen	c2	Lolita	1
9139	c1	Pumps	c2	Cosma	2
9293	c1	Xenon	c2	Anomaly	1
9480	c1	Temperance	c2	Firecracker	2
9639	c1	Cosma	c2	Rogue	2
9843	c1	Minx	c2	Lithium	2
9988	c1	Half Pint	c2	Cougar	2
10103	c1	Stiletto	c2	Heroin	1
10263	c1	Legacy	c2	Shadow	2
10436	c1	Calypso	c2	Black Beauty	2
10631	c1	Nightmare	c2	Enchantress	1
10783	c1	Tattoo	c2	Harlem	1
10951	c1	Cosma	c2	Amazon	2
11184	c1	Geisha	c2	Ivy	2

RkhT61Gfbvo	2021-10-16	N	Tournament|Reality Marble	
638	c1	Anomaly	c2	Malice	2
769	c1	Wicked	c2	Beretta	1
985	c1	Carbon	c2	Femme Fatale	2
1118	c1	Ivy	c2	Cosma	1
1273	c1	Beretta	c2	Shadow	2
1494	c1	Legacy	c3	Voodoo	2
1670	c1	Raven	c3	Half Pint	2
1789	c1	Banshee	c3	Widow	2
2124	c1	Firecracker	c1	Calypso	1
2300	c1	Countess	c1	Minx	2
2491	c1	Minx	c1	Firecracker	2
2604	c1	Heroin	c1	Belladonna	2
2858	c3	Velvet	c2	Anomaly	1
2978	c3	Mannequin	c2	Lithium	2
3137	c3	Vixen	c2	Tequila	2
3246	c3	Ultra	c2	Pumps	2
3519	c1	Harlem	c3	Ivy	2
3677	c1	Ivy	c3	Wicked	2
3810	c1	Firecracker	c3	Ivy	2
4142	c2	Ultra	c2	Siren	2
4258	c2	Lolita	c2	Geisha	1
4419	c2	Stiletto	c2	Nova	2
4595	c2	Cascade	c2	Countess	2
4982	c3	Minx	c1	Harlem	2
5097	c3	Carbon	c1	Colada	2
5232	c3	Ivy	c1	Ultra	2
5584	c3	Legacy	c2	Infinity	2
5809	c3	Siren	c2	Carbon	2
5985	c3	Harlem	c2	Wicked	1
6092	c3	Terror	c2	Malice	2
6405	c2	Goddess	c1	Heroin	2
6563	c2	Siren	c1	Infinity	2
6689	c2	Resin	c1	Velvet	1
6895	c2	Lotus	c1	Voodoo	1
7050	c2	Harlem	c1	Firecracker	1
7467	c1	Tattoo	c1	Wicked	2
7615	c1	Firecracker	c1	Majesty	1
7720	c1	Shadow	c1	Vanity	1
7839	c1	Voodoo	c1	Roulette	2
7971	c1	Lotus	c1	Colada	2
9451	c1	Cougar	c2	Insomnia	1
9587	c1	Ivy	c2	Infinity	1
9671	c1	Anomaly	c2	Countess	1
9924	c1	Infinity	c3	Half Pint	1
10052	c1	Velvet	c3	Cascade	1
10250	c1	Ivy	c3	Voodoo	2
10446	c1	Cougar	c3	Mademoiselle	1
10792	c2	Half Pint	c2	Raven	2
10950	c2	Firecracker	c2	Velvet	2
11083	c2	Vanity	c2	Raven	1
11223	c2	Riveter	c2	Mirage	2
11509	c1	Vanity	c2	Nova	2
11683	c1	Pumps	c2	Shadow	2
11913	c1	Minx	c2	Belladonna	2
12252	c1	Colada	c2	Xenon	1
12405	c1	Banshee	c2	Colada	1
12531	c1	Legacy	c2	Resin	2
12710	c1	Cougar	c2	Cosma	1
13054	c1	Carbon	c1	Enigma	1
13212	c1	Siren	c1	Infinity	2
13329	c1	Lotus	c1	Malice	2
13498	c1	Widow	c1	Riveter	2
13868	c2	Resin	c2	Insomnia	1
14070	c2	Mannequin	c2	Majesty	2
14171	c2	Amazon	c2	Widow	2
14342	c2	T-Back	c2	Cosma	2
14629	c1	Tattoo	c1	Harlem	2
14745	c1	Tequila	c1	Cougar	2
14956	c1	Beretta	c1	Nightmare	2
15285	c1	Mirage	c2	Cascade	1
15428	c1	Femme Fatale	c2	Heroin	2
15609	c1	Minx	c2	Voodoo	1
15731	c1	Anomaly	c2	Heroin	2
15859	c1	Majesty	c2	Calypso	1
16342	c2	Goddess	c1	Femme Fatale	2
16472	c2	Insomnia	c1	Cosma	2
16643	c2	Mannequin	c1	Voodoo	2
16830	c2	T-Back	c1	Cougar	2
17056	c2	Black Beauty	c1	Thunderbird	2
17285	c2	Xenon	c1	Resin	2

7p2esayL3bQ	2021-10-06	N		
319	c1	Femme Fatale	c2	Nova	2
413	c1	Tattoo	c2	Lithium	2
571	c2	Harlem	c1	Beretta	2
790	c2	Nightmare	c1	Xenon	1
931	c2	Vixen	c1	Infinity	1
1447	c2	Infinity	c1	Tequila	2
1811	c2	Resin	c3	Vixen	2
1946	c2	Cougar	c3	Mannequin	1
2159	c2	Cascade	c3	Rogue	1
3036	c2	Terror	c1	Goddess	1
3187	c2	Heroin	c1	Riveter	1
3380	c2	Infinity	c1	Calypso	1
3500	c2	Harlem	c1	Enchantress	1
3876	c2	Majesty	c3	Amazon	1
4101	c2	Mirage	c3	T-Back	2
4267	c2	Banshee	c3	Cosma	1
4979	c3	Pumps	c2	Nova	1
5099	c3	Cascade	c2	Beretta	2
5273	c3	Mannequin	c2	Banshee	1
5643	c3	Lithium	c2	Beretta	1
5827	c3	Widow	c2	Xenon	2
6614	c2	Insomnia	c3	Terror	1
6726	c2	Harlem	c3	Heroin	1
6854	c2	Anomaly	c3	Resin	1
7039	c2	Vixen	c3	Lolita	1

BagyfP59KzI	2021-10-11	N		
181	c1	Thunderbird	c1	Resin	1
401	c1	Mannequin	c1	Shadow	1
558	c1	Voodoo	c3	T-Back	2
874	c1	Stiletto	c3	Firecracker	2
1058	c1	Rogue	c3	Legacy	2
1320	c1	Black Beauty	c1	Vanity	1
1450	c1	Resin	c1	Thunderbird	1
1609	c1	Nightmare	c3	Mannequin	1
1765	c1	Shadow	c1	Banshee	1
1923	c1	Lotus	c1	Mannequin	1
2132	c1	Raven	c3	Nova	2
2269	c1	Vanity	c3	Temperance	2
2379	c1	Raven	c3	Widow	2
2511	c1	Anomaly	c3	Enigma	2
2678	c3	Colada	c3	Lotus	2
2837	c1	Infinity	c3	Pumps	2
3022	c1	Mademoiselle	c1	T-Back	2
3142	c3	Enigma	c1	Wicked	2
3276	c1	Insomnia	c1	Tequila	1
3378	c1	Cosma	c1	Shadow	1
3612	c1	Black Beauty	c1	Voodoo	1
3740	c1	Amazon	c3	Minx	1
3943	c1	Terror	c1	Nightmare	1
4139	c1	Xenon	c1	Anomaly	2
4230	c3	Mannequin	c1	Thunderbird	1
4379	c3	Harlem	c1	Siren	2
4565	c1	Majesty	c1	Roulette	1
4746	c1	Roulette	c1	Tattoo	1
4889	c1	Minx	c1	Rogue	1
5050	c1	Insomnia	c3	Xenon	2
5143	c1	Shadow	c3	Xenon	2
5272	c1	Voodoo	c3	Malice	2
5455	c1	Shadow	c1	Cascade	1
5732	c1	Legacy	c3	Majesty	2
5848	c1	Ivy	c3	Wicked	1
5974	c1	Mannequin	c1	Anomaly	1
6085	c1	Vixen	c1	Pumps	1
6369	c2	Raven	c3	Beretta	2
6573	c1	Colada	c3	Nova	1
6686	c1	Siren	c1	Femme Fatale	2
6888	c2	Infinity	c1	Tequila	2
7033	c3	Vanity	c1	Riveter	2
7319	c1	Beretta	c2	Roulette	2
7532	c3	Vixen	c2	Cascade	1
7843	c3	Tequila	c3	Cascade	2
8060	c1	Vanity	c3	Heroin	1
8262	c1	Xenon	c2	Half Pint	1
8514	c1	Malice	c3	Roulette	2
8628	c3	Goddess	c3	Thunderbird	2
8788	c2	Raven	c3	Vixen	2
9084	c1	Belladonna	c3	Geisha	2
9251	c3	Mannequin	c2	Geisha	2
9580	c1	Shadow	c2	T-Back	1
9804	c1	Ultra	c3	Widow	1
9999	c1	Shadow	c3	Carbon	2
10245	c2	Mademoiselle	c3	Countess	1
10474	c2	Femme Fatale	c3	Minx	2
10735	c1	Calypso	c3	Banshee	2
11026	c3	Rogue	c3	Half Pint	2

lPtnhv3oKAw	2021-10-16	N	Tournament|Top 8	
17	c1	Nova	c3	Nightmare	1
137	c1	Tequila	c3	Half Pint	1
255	c2	Amazon	c1	Belladonna	2
349	c2	Nightmare	c1	Cosma	2
579	c1	Vanity	c3	Anomaly	2
859	c1	Lolita	c3	Half Pint	1
997	c1	T-Back	c3	Anomaly	2

lwfJN0HmXpU	2021-10-12	N	Tournament|Hat-Trick	
95	c1	Raven	c3	Wicked	2
187	c1	Shadow	c3	Nightmare	2
459	c3	Majesty	c2	Belladonna	2
663	c3	Femme Fatale	c2	Siren	1
762	c3	Stiletto	c2	Half Pint	1
1040	c2	Goddess	c1	Femme Fatale	1
1235	c2	Vixen	c1	Lithium	1
1521	c2	Firecracker	c1	Harlem	2
1691	c2	Thunderbird	c1	Infinity	2
1874	c3	Banshee	c2	Nova	1
2013	c3	Femme Fatale	c2	Colada	1
2296	c1	Ivy	c2	Malice	2
2424	c1	Siren	c2	Cougar	2
2634	c2	Siren	c1	Goddess	1
2746	c2	Countess	c1	Cascade	1
2997	c3	Ultra	c2	Lithium	1
3193	c3	Pumps	c2	Calypso	1
3578	c3	Goddess	c2	T-Back	2
3750	c3	Heroin	c2	Shadow	2
3984	c3	Tattoo	c2	Lotus	2
4082	c3	Thunderbird	c2	Riveter	2
4443	c3	Ivy	c1	Harlem	2
4537	c3	Lithium	c1	Wicked	2
4792	c2	Countess	c2	Beretta	2
4902	c2	Enigma	c2	Temperance	1
5042	c2	Lithium	c2	Vanity	1
5229	c2	Infinity	c2	Enchantress	2
5436	c2	Xenon	c2	Infinity	1
5729	c1	Harlem	c3	T-Back	2
5851	c1	Wicked	c3	Majesty	1
5970	c1	Rogue	c3	Nightmare	1
6126	c1	Infinity	c2	Colada	1
6242	c1	Goddess	c2	Temperance	1
6359	c1	Beretta	c2	Tequila	1
6528	c1	Enigma	c2	Legacy	1
6615	c1	Resin	c2	Stiletto	1
6732	c1	Xenon	c2	Harlem	1
6867	c1	Belladonna	c2	Beretta	1
6997	c1	Shadow	c2	Rogue	1
7113	c1	Goddess	c2	Geisha	1

OaBi_EbpK1A	2021-10-01	N		
128	c1	Tequila	c2	Black Beauty	1
325	c1	Malice	c2	Beretta	1
505	c1	Countess	c2	Ultra	2
736	c1	Enchantress	c2	Rogue	1
901	c1	Shadow	c2	Lithium	2
1130	c1	Mannequin	c2	Black Beauty	2
1304	c1	Goddess	c2	Black Beauty	2
1428	c1	Rogue	c2	Minx	1
1530	c1	Shadow	c2	Mannequin	2
1637	c1	Legacy	c2	Wicked	1
1817	c1	Heroin	c2	Tequila	2
2017	c1	Anomaly	c2	Vixen	1
2146	c1	Enigma	c2	Malice	1

Cw_y_2lZfQ4	2021-10-12	N		
80	c3	Cascade	c1	Banshee	2
243	c3	Nightmare	c1	Tattoo	2
390	c3	Colada	c1	Enigma	2
626	c3	Majesty	c1	Mirage	2
894	c3	Colada	c1	Cougar	2
1064	c3	Terror	c1	Calypso	2
1240	c3	Tattoo	c1	Colada	2
1436	c3	Cascade	c1	Beretta	2

tlnHLD3EufA	2021-10-04	N		
25	c1	Beretta	c1	Rogue	2
210	c1	Legacy	c1	Shadow	2
290	c1	Calypso	c1	Riveter	2
412	c1	Half Pint	c1	Lithium	2
527	c1	Shadow	c1	Malice	2
646	c1	Mannequin	c1	Nova	2

oUETpmTEa9E	2021-10-01	N	Tournament|Roa Rodeo	
257	c2	Geisha	c3	Lolita	2
419	c2	Riveter	c3	Beretta	2
717	c3	Vixen	c1	Thunderbird	1
854	c3	Pumps	c1	Roulette	1
1196	c2	Geisha	c2	Mirage	2
1322	c2	Geisha	c2	Mademoiselle	2
1706	c1	Mannequin	c3	Stiletto	2
1848	c1	Mirage	c3	Calypso	1
2060	c1	Carbon	c3	Calypso	1
2391	c2	Cosma	c2	Raven	1
2632	c2	Vixen	c2	Banshee	1
2876	c1	Lotus	c1	Calypso	2
3003	c1	Cosma	c1	Countess	2
3259	c3	Wicked	c2	Goddess	1
3397	c3	Anomaly	c2	Countess	1
3803	c3	Ultra	c1	Geisha	1
4043	c3	Pumps	c1	Thunderbird	2
4228	c3	Minx	c1	Goddess	1
4405	c1	Nightmare	c3	Tequila	1
4611	c1	Banshee	c3	Harlem	1
5161	c2	Insomnia	c2	Enigma	1
5301	c2	Enchantress	c2	Firecracker	2
5462	c2	Firecracker	c2	Mademoiselle	2
5639	c1	Wicked	c2	Half Pint	2
5792	c1	T-Back	c2	Widow	2
6017	c1	Harlem	c3	Black Beauty	1
6273	c1	Terror	c3	Vixen	2
6537	c1	Tequila	c3	Banshee	1
6699	c1	Goddess	c3	Cascade	1
6959	c2	Beretta	c2	Heroin	1
7140	c2	Lotus	c2	Calypso	2
7336	c2	Thunderbird	c2	Xenon	2
7537	c3	Mademoiselle	c2	Nightmare	1
7687	c3	Roulette	c2	Colada	2
7900	c3	Enchantress	c2	Terror	1
8088	c3	Countess	c2	Mirage	2
8254	c3	Majesty	c2	Pumps	1
8772	c3	Mademoiselle	c1	Countess	1
8984	c3	Enigma	c1	Harlem	2
9112	c3	Colada	c1	Wicked	1
9240	c3	Raven	c1	Cougar	1
9450	c3	Raven	c1	Mirage	1
9682	c3	Terror	c1	Mannequin	2
9858	c3	Infinity	c1	Beretta	1
10058	c3	Shadow	c1	Widow	2
10193	c3	Stiletto	c1	Xenon	2

i2xK1KMsqRo	2021-10-09	L	Tournament	
324	c1	Raven	c3	Resin	1
514	c1	Thunderbird	c3	Minx	2
790	c1	Anomaly	c3	Raven	1
1730	c3	Malice	c3	Ivy	1
1932	c3	Terror	c3	Rogue	2
2001	c3	Beretta	c3	Riveter	2
2745	c1	Vanity	c2	Enigma	1
2951	c1	Cascade	c2	Mademoiselle	1
3363	c3	Rogue	c3	Half Pint	2
3464	c3	Pumps	c3	Calypso	2
3911	c2	Cascade	c3	Harlem	1
4022	c2	Calypso	c3	Pumps	1
4659	c3	Cougar	c3	Mademoiselle	2
4840	c3	Enigma	c3	Cougar	2
5204	c2	Infinity	c3	Pumps	2
5408	c2	Malice	c3	Geisha	2
5977	c3	Anomaly	c3	Legacy	2
6078	c3	Tequila	c3	Minx	2
6605	c1	Lolita	c2	Mademoiselle	2
6760	c1	Black Beauty	c2	Enigma	1
6898	c1	Infinity	c2	Voodoo	1
7129	c1	Cascade	c2	Voodoo	1
7451	c3	Beretta	c3	Cosma	2
7613	c3	Malice	c3	Harlem	1
7813	c3	Velvet	c3	Tattoo	2
8611	c2	Lolita	c3	Stiletto	1
8758	c2	Cascade	c3	Cosma	2
9032	c2	Ivy	c3	Lithium	2
9167	c2	Resin	c3	Belladonna	2
9482	c1	Majesty	c3	Malice	2
9599	c1	Harlem	c3	Riveter	1
9732	c1	Ultra	c3	Cosma	1
9888	c1	Cascade	c3	Black Beauty	2
10034	c1	Minx	c3	Widow	1

bwSa4N1Zazg	2021-10-07	N		
19	c1	Tequila	c1	Countess	1

feW1nws2j2c	2021-10-16	N	FT5	
35	c2	Mannequin	c2	Calypso	2
178	c2	Cougar	c2	Vixen	2
354	c2	Velvet	c2	Vixen	2
596	c2	Belladonna	c2	Geisha	1
762	c2	Banshee	c2	Tequila	2
991	c2	Cascade	c2	Majesty	1
1156	c2	Beretta	c2	Enigma	1
1251	c2	Roulette	c2	Banshee	1
1511	c2	Banshee	c2	Mannequin	1

njOFP5_h7Xw	2021-10-16	L	Tournament|Top 8|Lunar Phase	
103	c3	Beretta	c2	Xenon	1
207	c3	Widow	c2	Firecracker	2
369	c3	Beretta	c2	Cosma	1
633	c2	Colada	c1	Calypso	1
861	c2	Femme Fatale	c1	Nova	1
1124	c3	Tattoo	c2	Beretta	2
1302	c3	Cascade	c2	Ultra	1
1484	c3	T-Back	c2	Cosma	1
1795	c3	Cascade	c1	Infinity	1
1961	c3	Vixen	c1	Insomnia	2
2126	c3	Ivy	c1	Half Pint	1
2329	c3	Countess	c2	Nightmare	1
2511	c3	Firecracker	c2	Mirage	2
2709	c3	Harlem	c2	Malice	2
3099	c3	Riveter	c1	Nightmare	1
3214	c3	Femme Fatale	c1	Nova	1
3500	c3	Cascade	c2	Lithium	1
3672	c3	Countess	c2	Femme Fatale	2
3837	c3	Legacy	c2	Nova	1
4069	c3	Enchantress	c2	Calypso	1
4380	c3	Temperance	c2	Legacy	2
4468	c3	Mannequin	c2	Resin	1
4712	c3	Countess	c2	Widow	1
4951	c3	Mademoiselle	c2	Malice	1
5117	c3	Anomaly	c2	Velvet	1
5243	c3	Anomaly	c2	Heroin	2
5394	c3	Mademoiselle	c2	Calypso	1
5656	c3	Mirage	c3	Countess	2
5770	c3	Wicked	c3	Cougar	2
5961	c3	Lolita	c3	Minx	2

U1AO1JBz18I	2021-10-16	L	Tournament|Lunar Phase|Pools	
103	c3	Mademoiselle	c3	Resin	1
280	c3	Resin	c3	Voodoo	1
431	c3	Vixen	c2	Resin	1
526	c3	Amazon	c2	Velvet	1
909	c1	Vixen	c1	Pumps	1
1046	c1	Tequila	c1	Enigma	2
1199	c1	Riveter	c1	Voodoo	1
1580	c3	Voodoo	c2	Enigma	2
1703	c3	Vanity	c2	Lotus	2
2056	c3	Goddess	c3	Cosma	1
2252	c3	Lithium	c3	Femme Fatale	1
2467	c1	Geisha	c2	Terror	2
2644	c1	Mademoiselle	c2	Nova	2
2891	c2	Geisha	c1	Half Pint	1
3019	c2	Lolita	c1	Femme Fatale	2
3207	c2	Half Pint	c1	Belladonna	2
3451	c2	Mademoiselle	c2	Cosma	2
3614	c2	Lolita	c2	Terror	1
3784	c2	Carbon	c2	Ultra	2
